theta0,beta0,theta1,beta1,theta2,beta2,theta3,beta3,swing_phase0,swing_phase1,swing_phase2,swing_phase3,foothold0_x,foothold0_y,foothold0_z,foothold1_x,foothold1_y,foothold1_z,foothold2_x,foothold2_y,foothold2_z,foothold3_x,foothold3_y,foothold3_z
0.699894,-0.199537,0.796119,0.450611,0.703232,0.198643,1.074912,0.757413,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.699894,-0.199537,0.796119,0.450611,0.703232,0.198643,1.074912,0.757413,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.699639,-0.200206,0.795916,0.450339,0.703148,0.198315,1.074601,0.757205,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.699639,-0.200206,0.795916,0.450339,0.703148,0.198315,1.074601,0.757205,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.699371,-0.200911,0.795712,0.450067,0.703064,0.197987,1.074291,0.756996,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.699371,-0.200911,0.795712,0.450067,0.703064,0.197987,1.074291,0.756996,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.699089,-0.201652,0.795509,0.449795,0.702980,0.197659,1.073981,0.756787,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.699089,-0.201652,0.795509,0.449795,0.702980,0.197659,1.073981,0.756787,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.698794,-0.202429,0.795305,0.449523,0.702896,0.197331,1.073671,0.756578,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.698794,-0.202429,0.795305,0.449523,0.702896,0.197331,1.073671,0.756578,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.698485,-0.203242,0.795102,0.449250,0.702812,0.197003,1.073360,0.756369,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.698485,-0.203242,0.795102,0.449250,0.702812,0.197003,1.073360,0.756369,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.698162,-0.204091,0.794899,0.448978,0.702728,0.196675,1.073051,0.756160,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.698162,-0.204091,0.794899,0.448978,0.702728,0.196675,1.073051,0.756160,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.697826,-0.204975,0.794696,0.448706,0.702644,0.196347,1.072741,0.755950,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.697826,-0.204975,0.794696,0.448706,0.702644,0.196347,1.072741,0.755950,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.697476,-0.205894,0.794493,0.448433,0.702560,0.196019,1.072431,0.755741,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.697476,-0.205894,0.794493,0.448433,0.702560,0.196019,1.072431,0.755741,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.697113,-0.206848,0.794290,0.448161,0.702477,0.195691,1.072121,0.755532,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.697113,-0.206848,0.794290,0.448161,0.702477,0.195691,1.072121,0.755532,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.696737,-0.207836,0.794088,0.447888,0.702393,0.195363,1.071812,0.755322,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.696737,-0.207836,0.794088,0.447888,0.702393,0.195363,1.071812,0.755322,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.696348,-0.208860,0.793885,0.447616,0.702310,0.195035,1.071503,0.755113,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.696348,-0.208860,0.793885,0.447616,0.702310,0.195035,1.071503,0.755113,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.695945,-0.209917,0.793683,0.447343,0.702226,0.194707,1.071194,0.754903,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.695945,-0.209917,0.793683,0.447343,0.702226,0.194707,1.071194,0.754903,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.695530,-0.211009,0.793480,0.447070,0.702143,0.194379,1.070884,0.754693,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.695530,-0.211009,0.793480,0.447070,0.702143,0.194379,1.070884,0.754693,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.695102,-0.212135,0.793278,0.446797,0.702059,0.194051,1.070575,0.754484,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.695102,-0.212135,0.793278,0.446797,0.702059,0.194051,1.070575,0.754484,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.694661,-0.213295,0.793076,0.446524,0.701976,0.193722,1.070267,0.754274,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.694661,-0.213295,0.793076,0.446524,0.701976,0.193722,1.070267,0.754274,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.694207,-0.214488,0.792874,0.446251,0.701893,0.193394,1.069958,0.754064,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.694207,-0.214488,0.792874,0.446251,0.701893,0.193394,1.069958,0.754064,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.693740,-0.215715,0.792672,0.445978,0.701810,0.193066,1.069649,0.753854,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.693740,-0.215715,0.792672,0.445978,0.701810,0.193066,1.069649,0.753854,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.693261,-0.216974,0.792470,0.445705,0.701727,0.192738,1.069341,0.753643,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.693261,-0.216974,0.792470,0.445705,0.701727,0.192738,1.069341,0.753643,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.692770,-0.218267,0.792268,0.445432,0.701644,0.192409,1.069033,0.753433,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.692770,-0.218267,0.792268,0.445432,0.701644,0.192409,1.069033,0.753433,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
0.692265,-0.219593,0.792067,0.445159,0.701561,0.192081,1.068724,0.753223,1,0,0,0,0.196874,0.200000,0.000000,0.247126,-0.200000,0.000000,-0.196874,-0.200000,0.000000,-0.247126,0.200000,0.000000
