i,theta (deg),beta (deg),height (mm)
268,40.5726,37.3041,0.129699
269,40.5409,37.2724,0.129699
270,40.5092,37.2408,0.129699
271,40.4776,37.2091,0.129699
272,40.446,37.1774,0.129699
273,40.4144,37.1457,0.129699
274,40.3829,37.114,0.129699
275,40.3513,37.0822,0.129699
276,40.3198,37.0505,0.129699
277,40.2883,37.0186,0.129699
278,40.2569,36.9868,0.129699
279,40.2254,36.955,0.129699
280,40.194,36.9231,0.129699
281,40.1626,36.8912,0.129699
282,40.1313,36.8593,0.129699
283,40.0999,36.8274,0.129699
284,40.0686,36.7954,0.129699
285,40.0373,36.7634,0.129699
286,40.006,36.7314,0.129699
287,39.9748,36.6994,0.129699
288,39.9436,36.6673,0.129699
289,39.9124,36.6353,0.129699
290,39.8812,36.6032,0.129699
291,39.85,36.5711,0.129699
292,39.8189,36.5389,0.129699
293,39.7878,36.5067,0.129699
294,39.7567,36.4746,0.129699
295,39.7256,36.4424,0.129699
296,39.6946,36.4101,0.129699
297,39.6636,36.3779,0.129699
298,39.6326,36.3456,0.129699
299,39.6016,36.3133,0.129699
300,39.5707,36.281,0.129699
301,39.5397,36.2486,0.129699
302,39.5088,36.2163,0.129699
303,39.478,36.1839,0.129699
304,39.4471,36.1515,0.129699
305,39.4163,36.119,0.129699
306,39.3855,36.0866,0.129699
307,39.3547,36.0541,0.129699
308,39.3239,36.0216,0.129699
309,39.2932,35.9891,0.129699
310,39.2625,35.9565,0.129699
311,39.2318,35.9239,0.129699
312,39.2011,35.8913,0.129699
313,39.1705,35.8587,0.129699
314,39.1399,35.8261,0.129699
315,39.1093,35.7934,0.129699
316,39.0787,35.7608,0.129699
317,39.0481,35.728,0.129699
318,39.0176,35.6953,0.129699
319,38.9871,35.6626,0.129699
320,38.9566,35.6298,0.129699
321,38.9261,35.597,0.129699
322,38.8957,35.5642,0.129699
323,38.8653,35.5313,0.129699
324,38.8349,35.4985,0.129699
325,38.8045,35.4656,0.129699
326,38.7742,35.4327,0.129699
327,38.7439,35.3997,0.129699
328,38.7136,35.3668,0.129699
329,38.6833,35.3338,0.129699
330,38.653,35.3008,0.129699
331,38.6228,35.2678,0.129699
332,38.5926,35.2347,0.129699
333,38.5624,35.2017,0.129699
334,38.5322,35.1686,0.129699
335,38.5021,35.1355,0.129699
336,38.472,35.1023,0.129699
337,38.4419,35.0692,0.129699
338,38.4118,35.036,0.129699
339,38.3818,35.0028,0.129699
340,38.3518,34.9696,0.129699
341,38.3217,34.9363,0.129699
342,38.2918,34.903,0.129699
343,38.2618,34.8697,0.129699
344,38.2319,34.8364,0.129699
345,38.202,34.8031,0.129699
346,38.1721,34.7697,0.129699
347,38.1422,34.7363,0.129699
348,38.1124,34.7029,0.129699
349,38.0825,34.6695,0.129699
350,38.0527,34.6361,0.129699
351,38.023,34.6026,0.129699
352,37.9932,34.5691,0.129699
353,37.9635,34.5356,0.129699
354,37.9338,34.502,0.129699
355,37.9041,34.4685,0.129699
356,37.8744,34.4349,0.129699
357,37.8448,34.4013,0.129699
358,37.8152,34.3676,0.129699
359,37.7856,34.334,0.129699
360,37.756,34.3003,0.129699
361,37.7264,34.2666,0.129699
362,37.6969,34.2329,0.129699
363,37.6674,34.1991,0.129699
364,37.6379,34.1653,0.129699
365,37.6084,34.1315,0.129699
366,37.579,34.0977,0.129699
367,37.5496,34.0639,0.129699
368,37.5202,34.03,0.129699
369,37.4908,33.9962,0.129699
370,37.4615,33.9622,0.129699
371,37.4321,33.9283,0.129699
372,37.4028,33.8944,0.129699
373,37.3735,33.8604,0.129699
374,37.3443,33.8264,0.129699
375,37.315,33.7924,0.129699
376,37.2858,33.7583,0.129699
377,37.2566,33.7243,0.129699
378,37.2274,33.6902,0.129699
379,37.1983,33.6561,0.129699
380,37.1692,33.6219,0.129699
381,37.1401,33.5878,0.129699
382,37.111,33.5536,0.129699
383,37.0819,33.5194,0.129699
384,37.0529,33.4852,0.129699
385,37.0238,33.4509,0.129699
386,36.9948,33.4167,0.129699
387,36.9659,33.3824,0.129699
388,36.9369,33.3481,0.129699
389,36.908,33.3137,0.129699
390,36.8791,33.2794,0.129699
391,36.8502,33.245,0.129699
392,36.8213,33.2106,0.129699
393,36.7925,33.1762,0.129699
394,36.7637,33.1417,0.129699
395,36.7349,33.1073,0.129699
396,36.7061,33.0728,0.129699
397,36.6773,33.0382,0.129699
398,36.6486,33.0037,0.129699
399,36.6199,32.9691,0.129699
400,36.5912,32.9346,0.129699
401,36.5625,32.8999,0.129699
402,36.5339,32.8653,0.129699
403,36.5052,32.8307,0.129699
404,36.4766,32.796,0.129699
405,36.448,32.7613,0.129699
406,36.4195,32.7266,0.129699
407,36.3909,32.6918,0.129699
408,36.3624,32.6571,0.129699
409,36.3339,32.6223,0.129699
410,36.3054,32.5875,0.129699
411,36.277,32.5526,0.129699
412,36.2486,32.5178,0.129699
413,36.2201,32.4829,0.129699
414,36.1918,32.448,0.129699
415,36.1634,32.4131,0.129699
416,36.135,32.3781,0.129699
417,36.1067,32.3432,0.129699
418,36.0784,32.3082,0.129699
419,36.0501,32.2731,0.129699
420,36.0219,32.2381,0.129699
421,35.9936,32.203,0.129699
422,35.9654,32.168,0.129699
423,35.9372,32.1329,0.129699
424,35.909,32.0977,0.129699
425,35.8809,32.0626,0.129699
426,35.8527,32.0274,0.129699
427,35.8246,31.9922,0.129699
428,35.7965,31.957,0.129699
429,35.7685,31.9218,0.129699
430,35.7404,31.8865,0.129699
431,35.7124,31.8512,0.129699
432,35.6844,31.8159,0.129699
433,35.6564,31.7806,0.129699
434,35.6284,31.7452,0.129699
435,35.6005,31.7098,0.129699
436,35.5726,31.6744,0.129699
437,35.5447,31.639,0.129699
438,35.5168,31.6036,0.129699
439,35.4889,31.5681,0.129699
440,35.4611,31.5326,0.129699
441,35.4333,31.4971,0.129699
442,35.4055,31.4616,0.129699
443,35.3777,31.426,0.129699
444,35.3499,31.3904,0.129699
445,35.3222,31.3548,0.129699
446,35.2945,31.3192,0.129699
447,35.2668,31.2835,0.129699
448,35.2391,31.2479,0.129699
449,35.2115,31.2122,0.129699
450,35.1838,31.1765,0.129699
451,35.1562,31.1407,0.129699
452,35.1286,31.105,0.129699
453,35.1011,31.0692,0.129699
454,35.0735,31.0334,0.129699
455,35.046,30.9975,0.129699
456,35.0185,30.9617,0.129699
457,34.991,30.9258,0.129699
458,34.9635,30.8899,0.129699
