t,theta,beta,gamma,in_stance
0.172940,1.745329,0.082974,0.000000,0
0.173940,1.745329,0.089674,0.000000,0
0.174940,1.745329,0.096375,0.000000,0
0.175939,1.745329,0.103075,0.000000,0
0.176939,1.745329,0.109776,0.000000,0
0.177939,1.745329,0.116476,0.000000,0
0.178938,1.745329,0.123177,0.000000,0
0.179938,1.745329,0.129877,0.000000,0
0.180938,1.745329,0.136577,0.000000,0
0.181937,1.745329,0.143278,0.000000,0
0.182937,1.745329,0.149978,0.000000,0
0.183936,1.745329,0.156679,0.000000,0
0.184936,1.745329,0.163379,0.000000,0
0.185936,1.745329,0.170080,0.000000,0
0.186935,1.745329,0.176780,0.000000,0
0.187935,1.745329,0.183481,0.000000,0
0.188935,1.745329,0.190181,0.000000,0
0.189934,1.745329,0.196882,0.000000,0
0.190934,1.745329,0.203582,0.000000,0
0.191934,1.745329,0.210282,0.000000,0
0.192933,1.745329,0.216932,0.000000,0
0.193933,1.745329,0.223381,0.000000,0
0.194933,1.745329,0.229618,0.000000,0
0.195932,1.745329,0.235643,0.000000,0
0.196932,1.745329,0.241458,0.000000,0
0.197932,1.745329,0.247061,0.000000,0
0.198931,1.745329,0.252452,0.000000,0
0.199931,1.745329,0.257632,0.000000,0
0.200931,1.745329,0.262600,0.000000,0
0.201930,1.745329,0.267357,0.000000,0
0.202930,1.745329,0.271903,0.000000,0
0.203930,1.745329,0.276237,0.000000,0
0.204929,1.745329,0.280360,0.000000,0
0.205929,1.745329,0.284272,0.000000,0
0.206929,1.745329,0.287971,0.000000,0
0.207928,1.745329,0.291460,0.000000,0
0.208928,1.745329,0.294737,0.000000,0
0.209927,1.745329,0.297803,0.000000,0
0.210927,1.745329,0.300657,0.000000,0
0.211927,1.745329,0.303300,0.000000,0
0.212926,1.745329,0.305731,0.000000,0
0.213926,1.745329,0.307951,0.000000,0
0.214926,1.745329,0.309960,0.000000,0
0.215925,1.745329,0.311757,0.000000,0
0.216925,1.745329,0.313343,0.000000,0
0.217925,1.745329,0.314717,0.000000,0
0.218924,1.745329,0.315880,0.000000,0
0.219924,1.745329,0.316831,0.000000,0
0.220924,1.745329,0.317571,0.000000,0
0.221923,1.745329,0.318100,0.000000,0
0.222923,1.745329,0.318417,0.000000,0
0.223923,1.745329,0.318523,0.000000,0
