t,theta,beta,gamma,in_stance
0.338928,1.488995,-0.000000,0.000000,1
0.339928,1.492632,-0.000000,0.000000,1
0.340927,1.496479,-0.000000,0.000000,1
0.341927,1.500533,-0.000000,0.000000,1
0.342927,1.504789,-0.000000,0.000000,1
0.343927,1.509243,-0.000000,0.000000,1
0.344927,1.513890,-0.000000,0.000000,1
0.345926,1.518726,-0.000000,0.000000,1
0.346926,1.523746,-0.000000,0.000000,1
0.347926,1.528944,-0.000000,0.000000,1
0.348926,1.534316,-0.000000,0.000000,1
0.349926,1.539855,-0.000000,0.000000,1
0.350925,1.545556,-0.000000,0.000000,1
0.351925,1.551413,-0.000000,0.000000,1
0.352925,1.557419,-0.000000,0.000000,1
0.353925,1.563569,-0.000000,0.000000,1
0.354924,1.569855,-0.000000,0.000000,1
0.355924,1.576271,-0.000000,0.000000,1
0.356924,1.582810,-0.000000,0.000000,1
0.357924,1.589465,-0.000000,0.000000,1
0.358924,1.596229,-0.000000,0.000000,1
0.359923,1.603093,-0.000000,0.000000,1
0.360923,1.610051,-0.000000,0.000000,1
0.361923,1.617094,-0.000000,0.000000,1
0.362923,1.624214,-0.000000,0.000000,1
0.363923,1.631403,-0.000000,0.000000,1
0.364922,1.638654,-0.000000,0.000000,1
0.365922,1.645956,-0.000000,0.000000,1
0.366922,1.653302,-0.000000,0.000000,1
0.367922,1.660682,-0.000000,0.000000,1
0.368921,1.668087,-0.000000,0.000000,1
0.369921,1.675509,-0.000000,0.000000,1
0.370921,1.682938,-0.000000,0.000000,1
0.371921,1.690363,-0.000000,0.000000,1
0.372921,1.697776,-0.000000,0.000000,1
0.373920,1.705167,-0.000000,0.000000,1
0.374920,1.712524,-0.000000,0.000000,1
0.375920,1.719839,-0.000000,0.000000,1
0.376920,1.727100,-0.000000,0.000000,1
0.377920,1.734296,-0.000000,0.000000,1
0.378919,1.741418,-0.000000,0.000000,1
0.379919,1.745329,-0.000000,0.000000,0
0.380919,1.745329,-0.000000,0.000000,0
0.381919,1.745329,-0.000000,0.000000,0
0.382919,1.745329,-0.000000,0.000000,0
0.383918,1.745329,-0.000000,0.000000,0
0.384918,1.745329,-0.000000,0.000000,0
0.385918,1.745329,-0.000000,0.000000,0
0.386918,1.745329,-0.000000,0.000000,0
0.387917,1.745329,-0.000000,0.000000,0
0.388917,1.745329,-0.000000,0.000000,0
0.389917,1.745329,-0.000000,0.000000,0
0.390917,1.745329,-0.000000,0.000000,0
0.391917,1.745329,-0.000000,0.000000,0
0.392916,1.745329,-0.000000,0.000000,0
0.393916,1.745329,-0.000000,0.000000,0
0.394916,1.745329,-0.000000,0.000000,0
0.395916,1.745329,-0.000000,0.000000,0
0.396916,1.745329,-0.000000,0.000000,0
0.397915,1.745329,-0.000000,0.000000,0
0.398915,1.745329,-0.000000,0.000000,0
0.399915,1.745329,-0.000000,0.000000,0
0.400915,1.745329,-0.000000,0.000000,0
0.401914,1.745329,-0.000000,0.000000,0
0.402914,1.745329,-0.000000,0.000000,0
0.403914,1.745329,-0.000000,0.000000,0
0.404914,1.745329,-0.000000,0.000000,0
0.405914,1.745329,-0.000000,0.000000,0
0.406913,1.745329,-0.000000,0.000000,0
0.407913,1.745329,-0.000000,0.000000,0
0.408913,1.745329,-0.000000,0.000000,0
0.409913,1.745329,-0.000000,0.000000,0
0.410913,1.745329,-0.000000,0.000000,0
0.411912,1.745329,-0.000000,0.000000,0
0.412912,1.745329,-0.000000,0.000000,0
0.413912,1.745329,-0.000000,0.000000,0
0.414912,1.745329,-0.000000,0.000000,0
0.415911,1.745329,-0.000000,0.000000,0
0.416911,1.745329,-0.000000,0.000000,0
0.417911,1.745329,-0.000000,0.000000,0
0.418911,1.745329,-0.000000,0.000000,0
0.419911,1.745329,-0.000000,0.000000,0
0.420910,1.745329,-0.000000,0.000000,0
0.421910,1.745329,-0.000000,0.000000,0
0.422910,1.745329,-0.000000,0.000000,0
0.423910,1.745329,-0.000000,0.000000,0
