C.x,C.y,C.z,v.x,v.y,v.z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_orien_w,imu_orien_x,imu_orien_y,imu_orien_z,state_theta_a,state_beta_a,state_theta_b,state_beta_b_original_define,state_beta_b,state_theta_c,state_beta_c_original_define,state_beta_c,state_theta_d,state_beta_d
-1.03487,2.00654,0.118923,-0.029225848,-0.00076526,0.001634855,-0.003100922,0.004244481,0.000920009,3.37E-07,0.000269862,-1.13E-05,1,2.63E-07,2.16E-05,-1.47E-05,0.388186473,-0.3674975,0.468718473,-0.5911875,0.5911875,0.468718473,0.5911875,-0.5911875,0.388185973,0.367497
-1.03501,2.00654,0.118929,-0.02924775,-0.000749595,0.001631622,-0.004389409,0.003133185,-0.00063999,3.37E-07,0.000221302,-1.27E-05,1,2.64E-07,2.22E-05,-1.47E-05,0.388478473,-0.3686695,0.469266973,-0.593073,0.593073,0.469266973,0.593073,-0.593073,0.388478473,0.3686695
-1.03516,2.00653,0.118935,-0.029270351,-0.00074196,0.001615615,-0.004514609,0.001527498,-0.00319999,3.37E-07,0.000173445,-1.40E-05,1,2.64E-07,2.26E-05,-1.47E-05,0.388769973,-0.369842,0.469815973,-0.594959,0.594959,0.469815973,0.594959,-0.594959,0.388769973,0.369842
-1.0353,2.00653,0.118941,-0.029291251,-0.000741351,0.001587965,-0.004194628,0.000122219,-0.00552999,3.37E-07,0.000132767,-1.52E-05,1,2.65E-07,2.30E-05,-1.48E-05,0.389061973,-0.371014,0.470364473,-0.5968445,0.5968445,0.470364473,0.5968445,-0.5968445,0.389061973,0.371014
-1.03545,2.00653,0.118947,-0.02930995,-0.000746425,0.001550779,-0.003730366,-0.001014265,-0.007429989,3.37E-07,9.97E-05,-1.63E-05,1,2.66E-07,2.32E-05,-1.48E-05,0.389353473,-0.3721865,0.470913473,-0.5987305,0.5987305,0.470913473,0.5987305,-0.5987305,0.389353973,0.372186
-1.0356,2.00652,0.118953,-0.029326248,-0.00075602,0.001506018,-0.00326033,-0.001918431,-0.008949989,3.37E-07,7.35E-05,-1.74E-05,1,2.67E-07,2.34E-05,-1.49E-05,0.389645473,-0.3733585,0.471461973,-0.600616,0.600616,0.471461973,0.600616,-0.600616,0.389645473,0.3733585
-1.03574,2.00652,0.118959,-0.029340446,-0.000769089,0.001455259,-0.002833194,-0.002613328,-0.010149989,3.37E-07,5.29E-05,-1.78E-05,1,2.68E-07,2.35E-05,-1.49E-05,0.389937473,-0.3745305,0.472010473,-0.6025025,0.6025025,0.472010973,0.602502,-0.602502,0.389937473,0.3745305
-1.03589,2.00652,0.118964,-0.029342042,-0.000835775,0.001480017,-0.000319255,-0.013337264,0.00494001,3.37E-07,-0.000321113,-3.05E-06,1,2.69E-07,2.27E-05,-1.49E-05,0.390228973,-0.375703,0.472558973,-0.604388,0.604388,0.472558973,0.604388,-0.604388,0.390228973,0.375703
-1.03604,2.00651,0.11897,-0.029332037,-0.00086794,0.001440503,0.002004698,-0.006432891,-0.007909991,3.37E-07,-0.000378696,4.33E-06,1,2.69E-07,2.18E-05,-1.49E-05,0.390520973,-0.376875,0.473107473,-0.6062735,0.6062735,0.473107973,0.606274,-0.606274,0.390520973,0.376875
-1.03618,2.00651,0.118975,-0.029322231,-0.000890733,0.001382929,0.001952257,-0.004559007,-0.011529991,3.37E-07,-0.000381881,9.78E-06,1,2.70E-07,2.08E-05,-1.49E-05,0.390812473,-0.3780475,0.473656473,-0.6081595,0.6081595,0.473656473,0.6081595,-0.6081595,0.390812473,0.3780475
-1.03633,2.0065,0.11898,-0.029285231,-0.000941559,0.001406765,0.007397297,-0.010165214,0.004770009,3.37E-07,3.85E-05,3.36E-06,1,2.71E-07,2.09E-05,-1.49E-05,0.391104473,-0.3792195,0.474204973,-0.610045,0.610045,0.474205473,0.6100455,-0.6100455,0.391104473,0.3792195
-1.03648,2.0065,0.118985,-0.02928233,-0.000960635,0.00136865,0.000577345,-0.00381552,-0.007619991,3.37E-07,0.000169411,5.71E-06,1,2.72E-07,2.13E-05,-1.49E-05,0.391395973,-0.380392,0.474753973,-0.611931,0.611931,0.474753973,0.611931,-0.611931,0.391396473,0.3803915
-1.03662,2.00649,0.11899,-0.029292129,-0.000975901,0.001313826,-0.001959244,-0.003053187,-0.010959991,3.37E-07,0.000229539,3.14E-06,1,2.73E-07,2.19E-05,-1.48E-05,0.391687973,-0.381564,0.475302473,-0.6138165,0.6138165,0.475302973,0.613817,-0.613817,0.391687973,0.381564
-1.03677,2.00649,0.118995,-0.029410735,-0.000827868,0.001437556,-0.023722845,0.029607137,0.024730009,3.37E-07,-0.000439521,-2.29E-05,1,2.74E-07,2.08E-05,-1.49E-05,0.391979973,-0.382736,0.475851473,-0.6157025,0.6157025,0.475851473,0.6157025,-0.6157025,0.391979973,0.382736
-1.03692,2.00648,0.119001,-0.029464031,-0.000802485,0.001421355,-0.01065886,0.0050774,-0.003259993,3.37E-07,-0.000554849,-2.35E-05,1,2.74E-07,1.94E-05,-1.50E-05,0.392271473,-0.3839085,0.476399973,-0.617588,0.617588,0.476399973,0.617588,-0.617588,0.392271473,0.3839085
-1.03706,2.00648,0.119007,-0.029372933,-0.000825503,0.001634288,0.018227204,-0.004604386,0.042570006,3.37E-07,-0.000679661,2.74E-05,1,2.75E-07,1.77E-05,-1.49E-05,0.392563473,-0.3850805,0.476948973,-0.619474,0.619474,0.476948973,0.619474,-0.619474,0.392563473,0.3850805
-1.03721,2.00648,0.119014,-0.029316133,-0.000957422,0.001745114,0.011352464,-0.026383913,0.022160006,3.37E-07,-2.12E-05,2.15E-06,1,2.76E-07,1.77E-05,-1.49E-05,0.392855473,-0.3862535,0.477497473,-0.6213595,0.6213595,0.477497473,0.6213595,-0.6213595,0.392854973,0.386253
-1.03736,2.00647,0.119021,-0.029331931,-0.000997254,0.001697662,-0.003162305,-0.00796624,-0.009489994,3.37E-07,7.30E-05,9.10E-07,1,2.77E-07,1.79E-05,-1.49E-05,0.393147473,-0.3874255,0.478046473,-0.6232455,0.6232455,0.478046473,0.6232455,-0.6232455,0.393146973,0.387425
-1.0375,2.00647,0.119028,-0.029352228,-0.001021043,0.001623162,-0.00405341,-0.004757236,-0.014899994,3.37E-07,6.86E-05,-1.68E-07,1,2.78E-07,1.80E-05,-1.49E-05,0.393438973,-0.388598,0.478594473,-0.6251315,0.6251315,0.478594973,0.625131,-0.625131,0.393438473,0.3885975
